127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000423
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000362
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000624
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000973
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000557
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000484
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000658
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000500
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001343
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/default/index, HTTP/1.1, 200, 0.117326
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.054301
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.056249
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.056259
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.056935
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.057704
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.057531
127.0.0.1, 2014-03-22 20:18:19, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000305
